//id annuaire;nom;prenom;tel bureau;tel mobile;adresse mail;code uo
300000;nomToto;prenomToto;0102030405;0605040302;toto@titi.com;10000Z01
300001;nomTata;prenomTata;0102030406;0605040303;tata@titi.com;10000Z01
300002;nomTiti;prenomTiti;0102030407;0605040304;titi@toto.com;10000Z01
300003;nomTutu;prenomTutu;0102030408;0605040305;tutu@toto.com;10000Z02
300004;nomTutu;prenomTutu;0102030408;0605040305;tutu@toto.com;10000Z02
300005;nomTutu;prenomTutu;0102030408;0605040305;tutu@toto.com;10000Z02
300006;nomTutu;prenomTutu;0102030408;0605040305;tutu@toto.com;10000Z02
300007;nomTutu;prenomTutu;0102030408;0605040305;tutu@toto.com;10000Z02
300008;nomTutu;prenomTutu;0102030408;0605040305;tutu@toto.com;10000Z02
300009;nomTutu;prenomTutu;0102030408;0605040305;tutu@toto.com;10000Z02
300010;nomTutu;prenomTutu;0102030408;0605040305;tutu@toto.com;10000Z02
300011;nomTutu;prenomTutu;0102030408;0605040305;tutu@toto.com;10000Z02
300012;nomTutu;prenomTutu;0102030408;0605040305;tutu@toto.com;10000Z02
300013;nomTutu;prenomTutu;0102030408;0605040305;tutu@toto.com;10000Z02
300014;nomTutu;prenomTutu;0102030408;0605040305;tutu@toto.com;10000Z02
300015;nomTutu;prenomTutu;0102030408;0605040305;tutu@toto.com;10000Z02
300016;nomTutu;prenomTutu;0102030408;0605040305;tutu@toto.com;10000Z02
000000;admin;admin;0100000000;0600000000;admin@admin.com;10000Z01
300017;nomTete;prenomTete;0102030408;0605040305;tete@toto.com;10000Z01
300018;nomTete;prenomTete;0102030408;0605040305;tete@toto.com;10000Z01
300019;nomTete;prenomTete;0102030408;0605040305;tete@toto.com;10000Z01
300020;nomTete;prenomTete;0102030408;0605040305;tete@toto.com;10000Z01
300021;nomTete;prenomTete;0102030408;0605040305;tete@toto.com;10000Z01
300022;nomTete;prenomTete;0102030408;0605040305;tete@toto.com;10000Z01
300023;nomTete;prenomTete;0102030408;0605040305;tete@toto.com;10000Z01
300024;nomTete;prenomTete;0102030408;0605040305;tete@toto.com;10000Z01
300025;nomTete;prenomTete;0102030408;0605040305;tete@toto.com;10000Z01
300026;nomTete;prenomTete;0102030408;0605040305;tete@toto.com;10000Z01
300027;nomTete;prenomTete;0102030408;0605040305;tete@toto.com;10000Z01
300028;nomTete;prenomTete;0102030408;0605040305;tete@toto.com;10000Z01
300029;nomTete;prenomTete;0102030408;0605040305;tete@toto.com;10000Z01
300030;nomTete;prenomTete;0102030408;0605040305;tete@toto.com;10000Z01
300031;nomTete;prenomTete;0102030408;0605040305;tete@toto.com;10000Z01
300032;nomTete;prenomTete;0102030408;0605040305;tete@toto.com;10000Z01
300033;nomTete;prenomTete;0102030408;0605040305;tete@toto.com;10000Z01
300034;Durand;Martin;0106070809;0606070809;martin@durand.com;10000Z01
300035;Durand;Martin;0106070809;0606070809;martin@durand.com;10000Z01
300036;Durand;Martin;0106070809;0606070809;martin@durand.com;10000Z01
300037;Durand;Martin;0106070809;0606070809;martin@durand.com;10000Z01
300038;Durand;Martin;0106070809;0606070809;martin@durand.com;10000Z01
300039;Durand;Martin;0106070809;0606070809;martin@durand.com;10000Z01
300040;Durant;Martine;0106070809;0606070809;martin@durand.com;10000Z01
300041;Durant;Marcel;0106070809;0606070809;martin@durand.com;10000Z01
300042;Durant;Marcel;0106070809;0606070809;martin@durand.com;10000Z01
300043;Durant;Marcel;0106070809;0606070809;martin@durand.com;10000Z01
300044;Durant;Marcelle;0106070809;0606070809;martin@durand.com;10000Z01
300045;Durant;Marcel;0106070809;0606070809;martin@durand.com;10000Z01
300046;Durant;Marcel;0106070809;0606070809;pasinspire@durand.com;10000Z01
300047;Durant;Marcel;0106070809;0606070809;pasinspire@domaine.com;10000Z01
300048;Durant;Marcel;0106070809;0606070809;pasinspire@domaine.com;10000Z01
300049;Durant;Marcel;0106070809;0606070809;pasinspire@domaine.com;10000Z01
300050;Durant;Marcel;0106070809;0606070809;pasinspire@domaine.com;10000Z01
300051;Durant;Marcel;0106070809;0606070809;pasinspire@domaine.com;10000Z01
300052;Durant;Marcel;0106070809;0606070809;pasinspire@domaine.com;10000Z01
300053;Durant;Marcel;0106070809;0606070809;pasinspire@domaine.com;10000Z01
300054;Dupuis;Marcel;0106070809;0606070809;pasinspire@domaine.com;10000Z01
300055;Dupuis;Marcel;0106070809;0606070809;pasinspire@domaine.com;10000Z01
300056;Dupuis;Marcel;0106070809;0606070809;pasinspire@domaine.com;10000Z01
300057;Dupuis;Marcel;0106070809;0606070809;pasinspire@domaine.com;10000Z01
300058;Dupuis;Marcel;0106070809;0606070809;pasinspire@domaine.com;10000Z01
300059;Dufuis;Marcel;0106070809;0606070809;pasinspire@domaine.com;10000Z01
300060;Deleau;Jean;0106070809;0606070809;pasinspiredutout@domain.com;10000Z02
300061;Deleau;Jean;0106070809;0606070809;pasinspiredutout@domain.com;10000Z02
300062;Deleau;Jean;0106070809;0606070809;pasinspiredutout@domain.com;10000Z02
300063;Deleau;Jean;0106070809;0606070809;pasinspiredutout@domain.com;10000Z02
300064;Deleau;Jean;0106070809;0606070809;pasinspiredutout@domain.com;10000Z02
300065;Deleau;Jean;0106070809;0606070809;pasinspiredutout@domain.com;10000Z02
300066;Deleau;Jean;0106070809;0606070809;pasinspiredutout@domain.com;10000Z02
